,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-29 01:40,,,,,
2026-04-29 03:50,,,,,
2026-04-29 08:10,5.0,45.0,15.0,15.0,
2026-04-29 10:29,25.0,70.0,40.0,55.0,5.0
2026-04-29 12:13,40.0,45.0,70.0,20.0,5.0
2026-04-29 13:49,25.0,40.0,35.0,10.0,40.0
2026-04-29 15:00,10.0,35.0,55.0,10.0,55.0
2026-04-29 16:13,15.0,35.0,35.0,10.0,35.0
2026-04-29 17:18,,35.0,40.0,5.0,15.0
2026-04-29 18:12,,,,,
2026-04-29 19:09,,,,,
2026-04-29 20:05,,,,,
2026-04-29 22:37,,,,,
