,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-29 01:40,,,,,,,,,,
2026-04-29 03:50,,,,,,,,,,
2026-04-29 08:10,,,,,,,,,,
2026-04-29 10:29,65.0,55.0,45.0,30.0,15.0,35.0,15.0,,5.0,20.0
2026-04-29 12:13,45.0,80.0,30.0,35.0,30.0,30.0,15.0,70.0,5.0,45.0
2026-04-29 13:49,65.0,50.0,40.0,30.0,10.0,10.0,15.0,65.0,5.0,5.0
2026-04-29 15:00,,65.0,60.0,60.0,5.0,5.0,15.0,65.0,5.0,10.0
2026-04-29 16:13,70.0,70.0,55.0,25.0,5.0,10.0,15.0,65.0,5.0,10.0
2026-04-29 17:18,70.0,65.0,50.0,15.0,5.0,10.0,15.0,65.0,5.0,5.0
2026-04-29 18:12,70.0,70.0,40.0,10.0,5.0,10.0,15.0,65.0,5.0,5.0
