,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-10 00:59,,,,,
2026-08-10 02:15,,,,,
2026-08-10 04:06,,,,,
2026-08-10 07:40,5.0,55.0,10.0,,
2026-08-10 08:29,5.0,50.0,25.0,25.0,
2026-08-10 09:55,25.0,65.0,45.0,60.0,20.0
2026-08-10 10:49,20.0,55.0,45.0,55.0,35.0
2026-08-10 11:43,35.0,85.0,60.0,55.0,45.0
2026-08-10 12:31,35.0,55.0,40.0,40.0,40.0
2026-08-10 13:27,30.0,60.0,45.0,15.0,50.0
2026-08-10 14:11,30.0,45.0,50.0,5.0,45.0
2026-08-10 15:14,20.0,40.0,40.0,5.0,50.0
2026-08-10 16:01,10.0,40.0,50.0,5.0,35.0
2026-08-10 16:50,10.0,35.0,35.0,5.0,20.0
2026-08-10 17:27,10.0,35.0,30.0,5.0,20.0
2026-08-10 18:05,5.0,45.0,10.0,5.0,15.0
2026-08-10 18:50,5.0,20.0,5.0,5.0,5.0
2026-08-10 19:20,,,,,
