,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-08-10 00:59,,,,,,,,,,,,,,,,,,,,
2026-08-10 02:15,,,,,,,,,,,,,,,,,,,,
2026-08-10 04:06,,,,,,,,,,,,,,,,,,,,
2026-08-10 07:40,,,,,,,,,,,,,,,,,,,,
2026-08-10 08:29,,,,,,,,,,,,,,,,,,,,
2026-08-10 09:55,40.0,35.0,20.0,,25.0,15.0,45.0,5.0,5.0,13.0,5.0,10.0,5.0,10.0,25.0,5.0,15.0,5.0,,
2026-08-10 10:49,70.0,40.0,35.0,50.0,35.0,25.0,40.0,5.0,5.0,15.0,10.0,10.0,5.0,10.0,20.0,10.0,15.0,5.0,,
2026-08-10 11:43,55.0,50.0,40.0,55.0,40.0,30.0,40.0,10.0,5.0,25.0,15.0,10.0,5.0,10.0,30.0,25.0,15.0,5.0,,
2026-08-10 12:31,60.0,45.0,35.0,40.0,45.0,35.0,45.0,5.0,5.0,25.0,,10.0,10.0,10.0,30.0,25.0,15.0,5.0,,
2026-08-10 13:27,55.0,45.0,40.0,50.0,40.0,30.0,40.0,5.0,5.0,25.0,15.0,5.0,5.0,10.0,30.0,30.0,10.0,10.0,,
2026-08-10 14:11,50.0,45.0,25.0,35.0,30.0,25.0,45.0,5.0,5.0,15.0,5.0,5.0,5.0,15.0,25.0,5.0,15.0,10.0,,
2026-08-10 15:14,45.0,55.0,35.0,40.0,50.0,35.0,45.0,10.0,5.0,15.0,25.0,5.0,10.0,15.0,35.0,15.0,15.0,15.0,,
2026-08-10 16:01,55.0,35.0,25.0,40.0,35.0,25.0,30.0,10.0,5.0,20.0,15.0,5.0,5.0,15.0,25.0,10.0,5.0,5.0,,
2026-08-10 16:50,50.0,50.0,35.0,45.0,45.0,20.0,40.0,10.0,5.0,25.0,5.0,5.0,5.0,15.0,25.0,5.0,15.0,10.0,,
