,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-25 01:24,,,,,,,,,,,,,,,,,,,,
2026-07-25 03:31,,,,,,,,,,,,,,,,,,,,
2026-07-25 07:56,,,,,,,,,,,,,,,,,,,,
2026-07-25 09:04,40.0,45.0,10.0,,20.0,,40.0,5.0,5.0,13.0,5.0,5.0,5.0,15.0,15.0,,5.0,5.0,,
2026-07-25 10:40,50.0,45.0,30.0,25.0,25.0,35.0,30.0,5.0,5.0,13.0,5.0,10.0,5.0,10.0,20.0,10.0,15.0,5.0,,
2026-07-25 11:45,60.0,45.0,30.0,40.0,40.0,35.0,30.0,5.0,5.0,35.0,15.0,15.0,5.0,10.0,35.0,25.0,20.0,5.0,,
2026-07-25 12:35,40.0,50.0,30.0,45.0,45.0,40.0,25.0,5.0,5.0,20.0,5.0,5.0,5.0,10.0,35.0,30.0,5.0,15.0,,
