,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-23 01:37,,,,,,,,,,
2026-07-23 03:59,,,,,,,,,,
2026-07-23 08:17,,,,,,,,,,
2026-07-23 10:35,70.0,60.0,30.0,25.0,15.0,30.0,15.0,45.0,5.0,10.0
2026-07-23 12:10,75.0,75.0,60.0,55.0,,,30.0,55.0,5.0,35.0
2026-07-23 13:43,95.0,55.0,45.0,45.0,20.0,5.0,20.0,50.0,15.0,10.0
2026-07-23 14:49,105.0,60.0,50.0,20.0,,10.0,15.0,,15.0,10.0
2026-07-23 16:02,70.0,85.0,50.0,50.0,,15.0,15.0,50.0,5.0,10.0
2026-07-23 17:14,60.0,75.0,50.0,35.0,10.0,15.0,15.0,55.0,5.0,10.0
2026-07-23 18:14,90.0,80.0,30.0,30.0,10.0,20.0,15.0,55.0,5.0,5.0
