,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-17 01:10,,,,,
2026-04-17 03:04,,,,,
2026-04-17 07:42,5.0,45.0,,,
2026-04-17 08:43,5.0,45.0,,15.0,
2026-04-17 10:07,35.0,60.0,,55.0,10.0
2026-04-17 11:10,40.0,70.0,30.0,80.0,45.0
2026-04-17 12:11,50.0,65.0,70.0,50.0,55.0
2026-04-17 13:06,35.0,60.0,75.0,40.0,35.0
2026-04-17 13:58,30.0,50.0,55.0,35.0,45.0
2026-04-17 15:01,20.0,45.0,60.0,20.0,30.0
2026-04-17 15:59,20.0,55.0,50.0,5.0,55.0
2026-04-17 16:45,15.0,50.0,40.0,10.0,50.0
2026-04-17 17:27,20.0,35.0,40.0,30.0,50.0
