,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-12 01:54,,,,,,,,
2026-05-12 04:30,,,,,,,,
2026-05-12 09:00,,,13.0,10.0,50.0,20.0,5.0,5.0
2026-05-12 11:40,80.0,,30.0,45.0,60.0,45.0,30.0,5.0
2026-05-12 13:36,60.0,,20.0,20.0,50.0,40.0,55.0,5.0
2026-05-12 15:20,50.0,,25.0,25.0,55.0,45.0,40.0,5.0
2026-05-12 16:53,30.0,,30.0,15.0,,25.0,35.0,5.0
2026-05-12 17:58,15.0,,25.0,20.0,35.0,25.0,20.0,5.0
2026-05-12 18:57,25.0,,20.0,15.0,65.0,15.0,30.0,5.0
2026-05-12 19:56,60.0,,50.0,15.0,45.0,20.0,30.0,5.0
2026-05-12 22:45,,,,,,,,
