,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-02 01:22,,,,,,,,,,
2026-05-02 03:10,,,,,,,,,,
2026-05-02 07:36,,,,,,,,,,
2026-05-02 08:32,30.0,60.0,,,,5.0,15.0,45.0,,5.0
2026-05-02 09:54,75.0,115.0,35.0,20.0,5.0,10.0,15.0,55.0,5.0,5.0
2026-05-02 10:39,75.0,105.0,50.0,30.0,20.0,30.0,15.0,45.0,5.0,5.0
2026-05-02 11:29,85.0,115.0,40.0,60.0,20.0,15.0,35.0,50.0,5.0,40.0
2026-05-02 12:10,105.0,110.0,50.0,30.0,25.0,35.0,35.0,65.0,10.0,30.0
2026-05-02 13:05,120.0,95.0,55.0,60.0,25.0,,35.0,55.0,20.0,30.0
2026-05-02 13:56,80.0,95.0,70.0,45.0,25.0,15.0,15.0,80.0,20.0,35.0
2026-05-02 14:46,,95.0,55.0,35.0,15.0,20.0,15.0,70.0,20.0,30.0
2026-05-02 15:43,,,70.0,50.0,25.0,,20.0,65.0,5.0,5.0
2026-05-02 16:23,,,,90.0,40.0,,45.0,65.0,5.0,5.0
2026-05-02 17:03,,95.0,,120.0,35.0,5.0,20.0,65.0,5.0,5.0
