,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-02 01:22,,,,,
2026-05-02 03:10,,,,,
2026-05-02 07:36,5.0,35.0,15.0,,
2026-05-02 08:32,5.0,80.0,20.0,25.0,
2026-05-02 09:54,40.0,90.0,50.0,60.0,
2026-05-02 10:39,55.0,105.0,70.0,60.0,45.0
2026-05-02 11:29,40.0,90.0,60.0,70.0,50.0
2026-05-02 12:10,95.0,95.0,65.0,50.0,55.0
2026-05-02 13:05,75.0,85.0,65.0,40.0,45.0
2026-05-02 13:56,65.0,90.0,65.0,40.0,75.0
2026-05-02 14:46,45.0,60.0,70.0,35.0,50.0
2026-05-02 15:43,,80.0,50.0,10.0,
2026-05-02 16:23,,70.0,55.0,10.0,
2026-05-02 17:03,,55.0,55.0,10.0,
2026-05-02 17:53,20.0,25.0,35.0,10.0,15.0
2026-05-02 18:25,20.0,50.0,25.0,10.0,15.0
