,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-02 01:22,,,,,,,,
2026-05-02 03:10,,,,,,,,
2026-05-02 07:36,,,,,,,,
2026-05-02 08:32,,,,15.0,55.0,5.0,5.0,5.0
2026-05-02 09:54,,,75.0,30.0,80.0,60.0,35.0,5.0
2026-05-02 10:39,,,65.0,50.0,80.0,50.0,40.0,5.0
2026-05-02 11:29,85.0,,45.0,45.0,80.0,60.0,55.0,10.0
2026-05-02 12:10,90.0,,55.0,55.0,70.0,55.0,50.0,10.0
2026-05-02 13:05,90.0,,60.0,50.0,70.0,50.0,75.0,5.0
2026-05-02 13:56,85.0,,60.0,30.0,80.0,45.0,35.0,5.0
2026-05-02 14:46,80.0,,65.0,45.0,70.0,60.0,65.0,5.0
2026-05-02 15:43,75.0,,50.0,60.0,,,55.0,5.0
2026-05-02 16:23,65.0,,40.0,30.0,,50.0,50.0,5.0
2026-05-02 17:03,60.0,,25.0,35.0,40.0,50.0,40.0,5.0
