,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-26 01:24,,,,,
2026-04-26 03:09,,,,,
2026-04-26 07:32,,25.0,10.0,,
2026-04-26 08:06,10.0,80.0,10.0,25.0,
2026-04-26 09:37,30.0,90.0,50.0,60.0,
2026-04-26 10:25,40.0,75.0,75.0,60.0,50.0
2026-04-26 11:05,40.0,75.0,55.0,50.0,70.0
2026-04-26 11:53,45.0,75.0,70.0,45.0,55.0
2026-04-26 12:26,50.0,70.0,65.0,50.0,35.0
2026-04-26 13:07,60.0,75.0,55.0,45.0,55.0
2026-04-26 13:54,,120.0,70.0,30.0,
2026-04-26 14:35,50.0,75.0,75.0,30.0,
2026-04-26 15:32,45.0,55.0,35.0,10.0,50.0
2026-04-26 16:03,40.0,50.0,55.0,10.0,60.0
2026-04-26 16:52,,80.0,45.0,10.0,75.0
2026-04-26 17:24,,50.0,45.0,15.0,
2026-04-26 17:58,,45.0,55.0,10.0,
2026-04-26 18:36,,30.0,45.0,10.0,
2026-04-26 19:21,,,,,
