,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-26 01:24,,,,,,,,
2026-04-26 03:09,,,,,,,,
2026-04-26 07:32,,,,,,,,
2026-04-26 08:06,,,,,,,,
2026-04-26 09:37,45.0,,40.0,15.0,55.0,35.0,15.0,5.0
2026-04-26 10:25,85.0,,15.0,40.0,70.0,45.0,45.0,5.0
2026-04-26 11:05,,,35.0,40.0,70.0,50.0,35.0,5.0
2026-04-26 11:53,,,50.0,55.0,70.0,60.0,55.0,10.0
2026-04-26 12:26,,,60.0,45.0,75.0,,90.0,5.0
2026-04-26 13:07,70.0,,45.0,35.0,65.0,40.0,40.0,10.0
2026-04-26 13:54,75.0,,30.0,50.0,,40.0,40.0,10.0
2026-04-26 14:35,60.0,,55.0,50.0,60.0,55.0,40.0,10.0
2026-04-26 15:32,60.0,,35.0,35.0,90.0,40.0,45.0,10.0
2026-04-26 16:03,60.0,,35.0,20.0,50.0,45.0,35.0,5.0
2026-04-26 16:52,50.0,,20.0,30.0,55.0,40.0,35.0,5.0
2026-04-26 17:24,70.0,,35.0,20.0,,40.0,35.0,5.0
2026-04-26 17:58,50.0,,35.0,15.0,55.0,40.0,35.0,5.0
2026-04-26 18:36,40.0,,35.0,15.0,80.0,30.0,30.0,5.0
2026-04-26 19:21,45.0,,35.0,15.0,65.0,35.0,30.0,5.0
2026-04-26 19:58,35.0,,35.0,20.0,,35.0,30.0,5.0
2026-04-26 22:29,,,,,,,,
