,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-06-06 02:17,,,,,
2026-06-06 05:04,,,,,
2026-06-06 08:03,5.0,65.0,10.0,,
2026-06-06 10:02,25.0,60.0,40.0,45.0,10.0
2026-06-06 11:21,40.0,55.0,50.0,65.0,20.0
2026-06-06 12:36,35.0,50.0,15.0,45.0,25.0
2026-06-06 13:45,35.0,65.0,45.0,30.0,40.0
2026-06-06 14:54,20.0,45.0,30.0,15.0,40.0
2026-06-06 16:02,10.0,50.0,35.0,10.0,45.0
2026-06-06 17:11,20.0,50.0,40.0,5.0,25.0
2026-06-06 18:14,10.0,95.0,25.0,10.0,30.0
2026-06-06 19:16,,,,,
2026-06-06 20:18,,,,,
2026-06-06 23:31,,,,,
