,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-06 02:17,,,,,,,,
2026-06-06 05:04,,,,,,,,
2026-06-06 08:03,,,,,,,,
2026-06-06 10:02,75.0,,25.0,30.0,45.0,50.0,40.0,5.0
2026-06-06 11:21,60.0,,70.0,40.0,65.0,40.0,35.0,5.0
2026-06-06 12:36,65.0,,35.0,40.0,65.0,40.0,45.0,10.0
2026-06-06 13:45,50.0,,45.0,35.0,60.0,40.0,40.0,10.0
2026-06-06 14:54,50.0,,35.0,30.0,75.0,35.0,40.0,10.0
2026-06-06 16:02,40.0,,40.0,35.0,50.0,45.0,75.0,5.0
2026-06-06 17:11,35.0,,25.0,25.0,75.0,45.0,55.0,5.0
2026-06-06 18:14,35.0,,40.0,45.0,55.0,35.0,60.0,5.0
