,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-21 00:18,,,,,
2026-08-21 00:58,,,,,
2026-08-21 01:35,,,,,
2026-08-21 02:01,,,,,
2026-08-21 03:00,,,,,
2026-08-21 07:16,,,,,
2026-08-21 07:43,5.0,55.0,10.0,,
2026-08-21 08:01,5.0,65.0,10.0,,
2026-08-21 08:59,,55.0,55.0,60.0,
2026-08-21 09:45,25.0,70.0,35.0,75.0,5.0
2026-08-21 10:18,35.0,65.0,50.0,75.0,25.0
2026-08-21 10:56,40.0,55.0,50.0,60.0,25.0
2026-08-21 11:24,50.0,60.0,40.0,60.0,50.0
2026-08-21 11:54,35.0,65.0,45.0,55.0,65.0
2026-08-21 12:15,55.0,65.0,65.0,50.0,45.0
