,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-18 02:54,,,,,,,,,,
2026-05-18 07:02,,,,,,,,,,
2026-05-18 10:24,70.0,75.0,45.0,,20.0,25.0,15.0,65.0,5.0,20.0
2026-05-18 13:14,90.0,75.0,60.0,,20.0,20.0,15.0,,10.0,45.0
2026-05-18 15:03,75.0,95.0,70.0,,25.0,15.0,15.0,60.0,15.0,15.0
2026-05-18 16:40,70.0,110.0,50.0,,15.0,15.0,15.0,70.0,15.0,25.0
2026-05-18 17:50,65.0,75.0,50.0,,5.0,20.0,15.0,25.0,15.0,15.0
2026-05-18 18:42,55.0,85.0,,,15.0,10.0,15.0,80.0,10.0,5.0
2026-05-18 19:44,,80.0,70.0,,10.0,20.0,15.0,90.0,20.0,10.0
2026-05-18 21:35,50.0,105.0,50.0,,,5.0,15.0,45.0,5.0,5.0
2026-05-18 22:51,35.0,70.0,20.0,,,5.0,15.0,10.0,5.0,5.0
