,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-06-03 04:35,,,,,,,,,,
2026-06-03 11:23,85.0,75.0,30.0,,25.0,30.0,25.0,70.0,15.0,35.0
2026-06-03 15:02,90.0,95.0,75.0,,15.0,15.0,15.0,70.0,5.0,5.0
2026-06-03 17:55,85.0,,75.0,,25.0,15.0,20.0,55.0,5.0,5.0
2026-06-03 19:25,65.0,95.0,70.0,,10.0,5.0,20.0,55.0,5.0,5.0
2026-06-03 22:02,,,,,,,,,,
2026-06-03 23:38,,,,,,,,,,
