,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-13 01:26,,,,,,,,,,
2026-08-13 02:55,,,,,,,,,,
2026-08-13 07:38,,,,,,,,,,
2026-08-13 08:29,,,,,,,,,,
2026-08-13 09:57,75.0,65.0,25.0,15.0,5.0,10.0,15.0,45.0,5.0,5.0
2026-08-13 10:51,50.0,60.0,45.0,20.0,20.0,,25.0,30.0,5.0,10.0
2026-08-13 11:43,65.0,55.0,55.0,50.0,20.0,25.0,25.0,50.0,5.0,20.0
2026-08-13 12:34,55.0,60.0,30.0,30.0,15.0,15.0,15.0,50.0,5.0,5.0
2026-08-13 13:33,50.0,60.0,45.0,30.0,25.0,,15.0,55.0,5.0,10.0
2026-08-13 14:28,55.0,70.0,40.0,30.0,5.0,10.0,15.0,50.0,5.0,5.0
