,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-13 01:26,,,,,,,,
2026-08-13 02:55,,,,,,,,
2026-08-13 07:38,,,,,,,,
2026-08-13 08:29,,,,,,,,
2026-08-13 09:57,35.0,,60.0,25.0,50.0,40.0,30.0,5.0
2026-08-13 10:51,55.0,,,50.0,55.0,50.0,55.0,5.0
2026-08-13 11:43,50.0,,35.0,35.0,60.0,,40.0,10.0
2026-08-13 12:34,45.0,,50.0,40.0,60.0,,45.0,10.0
2026-08-13 13:33,45.0,,35.0,30.0,50.0,45.0,30.0,5.0
2026-08-13 14:28,40.0,,95.0,25.0,55.0,35.0,35.0,5.0
2026-08-13 15:34,45.0,,75.0,10.0,50.0,30.0,35.0,5.0
2026-08-13 16:06,45.0,,45.0,20.0,,45.0,45.0,5.0
2026-08-13 16:56,40.0,,115.0,15.0,,35.0,45.0,5.0
