,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-13 01:26,,,,,
2026-08-13 02:55,,,,,
2026-08-13 07:38,5.0,65.0,10.0,,
2026-08-13 08:29,5.0,55.0,20.0,20.0,
2026-08-13 09:57,20.0,55.0,40.0,45.0,5.0
2026-08-13 10:51,25.0,45.0,45.0,65.0,15.0
2026-08-13 11:43,40.0,55.0,50.0,30.0,35.0
2026-08-13 12:34,45.0,50.0,60.0,20.0,50.0
2026-08-13 13:33,35.0,40.0,45.0,15.0,50.0
2026-08-13 14:28,20.0,35.0,55.0,10.0,50.0
2026-08-13 15:34,25.0,30.0,40.0,10.0,25.0
2026-08-13 16:06,5.0,45.0,25.0,10.0,
2026-08-13 16:56,,40.0,30.0,5.0,
2026-08-13 17:37,10.0,35.0,60.0,5.0,5.0
2026-08-13 18:21,10.0,25.0,10.0,5.0,25.0
2026-08-13 19:07,,,,,
2026-08-13 19:52,,,,,
