,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-06-07 03:42,,,,,,,,,,
2026-06-07 08:15,,,,,,,,,,
2026-06-07 10:20,50.0,55.0,25.0,20.0,10.0,15.0,15.0,40.0,5.0,5.0
2026-06-07 11:46,75.0,60.0,45.0,35.0,15.0,15.0,15.0,45.0,5.0,15.0
2026-06-07 12:58,70.0,55.0,45.0,55.0,15.0,15.0,15.0,50.0,5.0,10.0
2026-06-07 14:03,55.0,60.0,45.0,35.0,5.0,10.0,15.0,50.0,5.0,35.0
2026-06-07 15:43,60.0,75.0,55.0,60.0,5.0,10.0,15.0,50.0,5.0,5.0
2026-06-07 16:51,,70.0,30.0,50.0,5.0,5.0,15.0,50.0,5.0,5.0
2026-06-07 17:53,,,55.0,30.0,5.0,10.0,15.0,50.0,5.0,5.0
2026-06-07 18:51,80.0,,50.0,30.0,5.0,5.0,15.0,55.0,10.0,5.0
2026-06-07 19:52,90.0,75.0,35.0,25.0,5.0,5.0,15.0,45.0,5.0,5.0
2026-06-07 22:05,,,,,,,,,,
2026-06-07 23:36,,,,,,,,,,
