,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-07 03:42,,,,,,,,
2026-06-07 08:15,,,,,,,,
2026-06-07 10:20,40.0,,60.0,35.0,55.0,40.0,40.0,5.0
2026-06-07 11:46,40.0,,45.0,40.0,70.0,45.0,45.0,5.0
2026-06-07 12:58,35.0,,40.0,40.0,50.0,45.0,50.0,5.0
2026-06-07 14:03,45.0,,40.0,25.0,60.0,40.0,40.0,5.0
2026-06-07 15:43,35.0,,35.0,25.0,55.0,30.0,35.0,5.0
2026-06-07 16:51,40.0,,13.0,15.0,40.0,30.0,30.0,5.0
2026-06-07 17:53,40.0,,30.0,15.0,50.0,30.0,35.0,5.0
2026-06-07 18:51,30.0,,13.0,15.0,70.0,35.0,40.0,5.0
2026-06-07 19:52,25.0,,25.0,20.0,40.0,30.0,25.0,5.0
