,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-27 01:39,,,,,,,,,,
2026-04-27 03:55,,,,,,,,,,
2026-04-27 08:15,,,,,,,,,,
2026-04-27 10:27,75.0,85.0,60.0,25.0,25.0,25.0,45.0,,5.0,5.0
2026-04-27 12:07,95.0,85.0,35.0,30.0,35.0,15.0,15.0,55.0,5.0,40.0
2026-04-27 13:39,55.0,85.0,50.0,30.0,25.0,15.0,15.0,75.0,10.0,10.0
2026-04-27 14:52,75.0,75.0,50.0,35.0,20.0,,15.0,85.0,10.0,15.0
2026-04-27 16:01,75.0,,55.0,40.0,15.0,10.0,15.0,60.0,10.0,20.0
2026-04-27 17:10,75.0,85.0,65.0,35.0,10.0,15.0,15.0,70.0,5.0,5.0
2026-04-27 18:04,40.0,105.0,35.0,20.0,5.0,5.0,15.0,70.0,5.0,5.0
